ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
344,0.5278330019880716,0.4454794520547945,"(0.06278, 0.37543, 0.64276)","(0.08333, 0.4977, 0.47217)","['LDA', 'RAKE', 'TF-IDF']","[(0.5845391868077593, 'PC1'), (0.41546081319224065, 'PC2')]",Random Forest
345,0.5487077534791253,0.5035616438356164,"(0.12752, 0.47096, 0.62277)","(0.1131, 0.6851, 0.45129)","['LDA', 'RAKE', 'TF-IDF']","[(0.5007422127086288, 'PC1'), (0.4992577872913711, 'PC2')]",Random Forest
346,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
347,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
348,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
349,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
350,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
351,0.5815109343936382,0.4898630136986301,"(0.15084, 0.46898, 0.60576)","(0.16071, 0.6851, 0.41849)","['LDA', 'RAKE', 'TF-IDF']","[(0.502217002726368, 'PC1'), (0.4977829972736319, 'PC2')]",Random Forest
352,0.6033797216699801,0.5063013698630137,"(0.20805, 0.4553, 0.67513)","(0.18452, 0.75883, 0.39662)","['LDA', 'RAKE', 'TF-IDF']","[(0.5044775767737674, 'PC2'), (0.4955224232262327, 'PC1')]",Random Forest
353,0.474155069582505,0.503013698630137,"(0.13553, 0.49369, 0.63051)","(0.22024, 0.54071, 0.52584)","['num_words', 'ComplaintType', 'FacilityRegion', 'FacilityEconomicSubSector']","[(0.5244610741198321, 'PC1'), (0.47553892588016794, 'PC2')]",Random Forest
354,0.5566600397614314,0.5090410958904109,"(0.12195, 0.47858, 0.6727)","(0.14881, 0.70353, 0.44334)","['num_words', 'FacilityRegion', 'FacilityEconomicSubSector']","[(0.5353365833171916, 'PC1'), (0.46466341668280847, 'PC2')]",Random Forest
