ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features
57,0.8597285067873304,0.3561643835616438,"(0.3964, 0.33686, 0.41892)","(0.20465, 0.71946, 0.14027)","['ComplaintType', 'TF-IDF']","[(0.21310846607611028, 'ComplaintType_Sectorial'), (0.20601393824017106, 'el'), (0.14623221496801067, 'ComplaintType_Municipal'), (0.12779249282975144, 'ComplaintType_Ciudadana'), (0.0934152328004918, 'ComplaintType_Autoridad')]"
58,0.7330316742081447,0.4185692541856925,"(0.42966, 0.44017, 0.36875)","(0.52558, 0.46606, 0.26697)","['num_words', 'TF-IDF']","[(0.9555407719546747, 'num_words'), (0.021194311417349978, 'el'), (0.00728030797103974, 'que'), (0.0057082458579614795, 'ruidos'), (0.003441548406475324, 'por')]"
59,0.6923076923076923,0.4277016742770167,"(0.44298, 0.41026, 0.4359)","(0.46977, 0.50679, 0.30769)","['num_words', 'TF-IDF']","[(0.9610418918825825, 'num_words'), (0.014639875178368443, 'el'), (0.00529342761758, 'ruidos'), (0.005164856300539071, 'por'), (0.0031845200330881274, 'no')]"
60,0.156060606060606,0.8551518168242906,"(0.8183, 0.86745, 0.88978)","(0.9429, 0.77628, 0.84394)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.2686697742723817, 'num_words'), (0.14271822059958578, 'facility_num_sanctions'), (0.11228933695600324, 'month'), (0.11125018376817081, 'facility_num_inspections'), (0.07688074885278177, 'Ruidos')]"
61,0.7194570135746606,0.4185692541856925,"(0.40856, 0.4252, 0.42466)","(0.48837, 0.48869, 0.28054)","['num_words', 'TF-IDF']","[(1.0, 'num_words'), (0.0, 'ya que'), (0.0, 'ruidos molestos'), (0.0, 'que se'), (0.0, 'que no')]"
62,0.4570135746606334,0.6666666666666666,"(0.816, 0.58163, 0.56872)","(0.94884, 0.51584, 0.54299)","['num_words', 'LDA']","[(0.21263642661013338, 'row_number'), (0.09417569624647372, 'num_words'), (0.06813729650242853, 6.0), (0.06723373056164887, 3.0), (0.06408399431091005, 0.0)]"
63,0.4343891402714932,0.715372907153729,"(0.79297, 0.62555, 0.71839)","(0.94419, 0.64253, 0.56561)","['num_words', 'LDA', 'FacilityRegion']","[(0.18448733066773018, 'row_number'), (0.06877460109759444, 'num_words'), (0.05654357136703256, 6.0), (0.056145713421359066, 7.0), (0.05597153409961869, 1.0)]"
64,0.3710407239819004,0.730593607305936,"(0.82174, 0.63598, 0.73936)","(0.87907, 0.68778, 0.62896)","['num_words', 'LDA', 'FacilityRegion']","[(0.08492505004997312, 'num_words'), (0.08057255496392551, 5.0), (0.07675298624385712, 3.0), (0.07199754824832086, 10.0), (0.07036095595763164, 9.0)]"
65,0.5067873303167421,0.6255707762557078,"(0.77731, 0.55189, 0.52657)","(0.86047, 0.52941, 0.49321)","['num_words', 'LDA', 'EnvironmentalTopic']","[(0.09956612876593175, 'num_words'), (0.08196876258295091, 6.0), (0.08137844246630456, 0.0), (0.07776603952877087, 10.0), (0.07643414902716764, 4.0)]"
66,0.2895927601809955,0.7732115677321156,"(0.80247, 0.71233, 0.80513)","(0.90698, 0.70588, 0.71041)","['num_words', 'LDA', 'EnvironmentalTopic', 'FacilityEconomicSector']","[(0.08401595585784909, 'num_words'), (0.0764739632288191, 2.0), (0.07109864185220809, 7.0), (0.06415802963199127, 3.0), (0.06339473176389701, 8.0)]"
67,0.2081447963800905,0.817351598173516,"(0.79592, 0.75566, 0.91623)","(0.90698, 0.75566, 0.79186)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month', 'LDA']","[(0.10180914505959993, 'facility_num_sanctions'), (0.09505211314790665, 'facility_num_inspections'), (0.05527180923907326, 8.0), (0.05197473827004079, 10.0), (0.050007649626903745, 3.0)]"
68,0.3257918552036199,0.7534246575342466,"(0.82743, 0.64634, 0.80541)","(0.86977, 0.71946, 0.67421)","['num_words', 'LDA', 'EnvironmentalTopic', 'FacilityEconomicSector', 'sanctions_inspections_ratio']","[(0.07590722161165282, 5.0), (0.07522997048434604, 'num_words'), (0.06997272541817412, 8.0), (0.06922116161767623, 9.0), (0.06309773775168528, 10.0)]"
